Nº serie;Etiqueta;Fabricante;Modelo
41GXC83;0042052;TOSHIBA;4900-777
CYVJRT3;0044347;DELL;OPTIPLEX 3000 THIN CLIENT
41-KCD88;0045415;TOSHIBA;4900-777
41-KCF28;0045407;TOSHIBA;4900-777
41-KCD41;0045418;TOSHIBA;4900-777
41HLZ42;0042989;TOSHIBA;4900-777
41GXC70;0042054;TOSHIBA;4900-777
4WVJRT3;0044380;DELL;OPTIPLEX 3000 THIN CLIENT
GWVJRT3;0044367;DELL;OPTIPLEX 3000 THIN CLIENT
8XVJRT3;0044346;DELL;OPTIPLEX 3000 THIN CLIENT
5L1PC14;0056021;DELL;POWEREDGE R440
4L1PC14;0056022;DELL;POWEREDGE R440
M4XC6547LJ;0046534;APPLE;MACBOOK AIR 13
41HLY81;0042990;TOSHIBA;4900-777
MXL3494BFD;0046719;HP;HP Z1G9 COREI7
41KBN24;0044962;TOSHIBA;4900-777
41KCC68;0044965;TOSHIBA;4900-777
3VM0144;0046711;DELL;POWEREDGE R660 XS
5BD8L44;0046710;DELL;POWEREDGE R360
D73VK44;0046709;DELL;POWEREDGE R760
NQ62F00H2L;0047195;APPLE;MacBook 16 PRO
41KBX34;0045276;TOSHIBA;4900-777
41KBN40;0045277;TOSHIBA;4900-777
41KBN66;0045274;TOSHIBA;4900-777
41KBN41;0044968;TOSHIBA;4900-777
SN�KT1900241128001;0047732;INTEL;NUC
SN�KT1900241128004;0047733;INTEL;NUC
5CD40551QH;0047570;HP;ELITEBOOK 640 G9
41KCD40;0045305;TOSHIBA;4900-777
41KCD12;0045307;TOSHIBA;4900-777
41KCC62;0045311;TOSHIBA;4900-777
41KBN63;0045312;TOSHIBA;4900-777
41KCD99;0045318;TOSHIBA;4900-777
41KBV07;0045320;TOSHIBA;4900-777
41KBY68;0045321;TOSHIBA;4900-777
41KBV02;0045323;TOSHIBA;4900-777
41KCF34;0045324;TOSHIBA;4900-777
41KCF11;0045326;TOSHIBA;4900-777
41KBN21;0045328;TOSHIBA;4900-777
41KBN28;0045329;TOSHIBA;4900-777
